source_field,clean_field,rows,missing_clean,missing_rate,invalid_count,minimum,median,maximum
RIVER LEVEL,river_level,5460,236,0.04322344322,0,2.31,4.63,10.83
R/W PUMP DUTY,rw_pump_duty,5460,1834,0.3358974359,86,1,2,2
R/W FLOW,rw_flow,5460,11,0.002014652015,1,4.7,49.5,63.4
R/W NTU,rw_ntu,5460,1,0.0001831501832,0,1,25,456
R/W CLR,rw_clr,5460,1,0.0001831501832,0,11,248,7612
R/W PH,rw_ph,5460,1644,0.3010989011,0,7,7,7.3
FILT. NTU,filt_ntu,5460,0,0,0,0.02,0.06,9.8
C/W WELL LEVEL,cw_level,5460,2,0.0003663003663,1,1.34,3.8,3.98
PH,treated_ph,5460,1644,0.3010989011,0,7,7.3,7.7
NTU,ntu,5460,341,0.06245421245,0,0.08,0.31,11.9
CLR,treated_clr,5460,2,0.0003663003663,0,0,5,5
CL2,cl2,5460,1726,0.3161172161,0,0.47,1.5,3.4
F/RIDE,f_ride,5460,4132,0.7567765568,0,0.01,0.01,100
ALUM,alum,5460,1645,0.3012820513,0,0.04,0.06,0.08
T/W FLOW,tw_flow,5460,16,0.00293040293,1,17.5,45.5,55.6
18ML LEVEL,tank18_level,5460,5460,1,0,,,
18ML FLOW,tank18_flow,5460,5460,1,0,,,
