rw_ntu_lag_steps,rw_ph_lag_steps,alum_lag_steps,rw_flow_lag_steps,ridge,mean_validation_rmse_ntu
0,0,0,0,0.01,0.5329644032888472
0,0,0,0,0.1,0.5331158396761245
0,0,0,0,1.0,0.5333840841236083
0,0,0,0,10.0,0.534023523193473
0,0,0,0,100.0,0.5459363212455384
0,0,0,1,0.01,0.5354796637941818
0,0,0,1,0.1,0.5354685199781025
0,0,0,1,1.0,0.5353867857968966
0,0,0,1,10.0,0.5358294282924253
0,0,0,1,100.0,0.5475715362062702
0,0,0,2,0.01,0.5336668173178444
0,0,0,2,0.1,0.5338051186574833
0,0,0,2,1.0,0.534106941879428
0,0,0,2,10.0,0.5348427175211994
0,0,0,2,100.0,0.546907813770963
0,0,0,3,0.01,0.5307197217029497
0,0,0,3,0.1,0.5310708841361914
0,0,0,3,1.0,0.5318699960081738
0,0,0,3,10.0,0.5328448821259685
0,0,0,3,100.0,0.5448454319467285
0,0,1,0,0.01,0.5339776267480195
0,0,1,0,0.1,0.534239829097606
0,0,1,0,1.0,0.5344622896214223
0,0,1,0,10.0,0.534786207500263
0,0,1,0,100.0,0.5464458931512681
0,0,1,1,0.01,0.5365262169395506
0,0,1,1,0.1,0.5366303790997543
0,0,1,1,1.0,0.5365040690959642
0,0,1,1,10.0,0.5366028278298802
0,0,1,1,100.0,0.5480841484578326
0,0,1,2,0.01,0.5345966169231738
0,0,1,2,0.1,0.5348615253926563
0,0,1,2,1.0,0.5351462663822558
0,0,1,2,10.0,0.5355936122838884
0,0,1,2,100.0,0.5474204292495122
0,0,1,3,0.01,0.5316067245245188
0,0,1,3,0.1,0.5320694012510787
0,0,1,3,1.0,0.5328501120280221
0,0,1,3,10.0,0.5335764219249931
0,0,1,3,100.0,0.5453543663677273
0,0,2,0,0.01,0.5343366658746976
0,0,2,0,0.1,0.5344917595653117
0,0,2,0,1.0,0.534699135250179
0,0,2,0,10.0,0.535135141718178
0,0,2,0,100.0,0.5468633266062305
0,0,2,1,0.01,0.5368531398715264
0,0,2,1,0.1,0.5368564431274512
0,0,2,1,1.0,0.5367166505885731
0,0,2,1,10.0,0.5369335097462812
0,0,2,1,100.0,0.5484878599143913
0,0,2,2,0.01,0.5349706917199478
0,0,2,2,0.1,0.5351373673482817
0,0,2,2,1.0,0.5354064237025836
0,0,2,2,10.0,0.5359468618061801
0,0,2,2,100.0,0.5478329864553035
