feature,source_variable,lag_hours,input_transform,standardized_coefficient,coefficient_per_transformed_unit,imputation_median,winsor_lower,winsor_upper,standardization_mean,standardization_scale,function_definition
intercept,constant,0,constant,0.303468691,0.303468691,,,,,,"NTU_hat=max(0, exp(beta0 + sum(beta_j*z_j))-1)"
river_level,river_level,0,identity,8.117714063e-05,5.164644441e-05,4.86,3.14,10.35,5.182797218,1.571785658,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
river_level_lag1,river_level,2,identity,-0.002297138405,-0.001461697208,4.86,3.14,10.35,5.183132378,1.57155558,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
river_level_lag2,river_level,4,identity,-0.0006625936778,-0.0004216787158,4.86,3.14,10.35,5.183467538,1.571323505,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
river_level_lag3,river_level,6,identity,0.0008709042166,0.0005543363606,4.86,3.14,10.35,5.183815346,1.571075395,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
river_level_lag6,river_level,12,identity,0.007738514567,0.004925151201,4.86,3.14,10.35,5.183560287,1.571223756,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_flow,rw_flow,0,identity,0.0006294388269,0.0002091372652,48.8,40.134,55.8,49.17673398,3.009692349,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_flow_lag1,rw_flow,2,identity,0.002510395893,0.0008357117574,48.8,40.333,55.8,49.17961678,3.003901609,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_flow_lag2,rw_flow,4,identity,-0.0005152071496,-0.0001720520689,48.8,40.796,55.8,49.18377192,2.994483896,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_flow_lag3,rw_flow,6,identity,-0.005665171659,-0.001892962061,48.8,40.793,55.8,49.18550632,2.992754993,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_flow_lag6,rw_flow,12,identity,-0.003581103537,-0.001190326128,48.8,40.128,55.8,49.17328879,3.0085062,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ntu,rw_ntu,0,log1p,-2.233416368e-05,-3.04854742e-05,3.33220451,1.791759469,5.478880233,3.423509794,0.7326165747,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ntu_lag1,rw_ntu,2,log1p,0.0007442487326,0.001016116559,3.33220451,1.791759469,5.478921899,3.42374925,0.7324442514,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ntu_lag2,rw_ntu,4,log1p,0.001320617437,0.001803527103,3.33220451,1.791759469,5.478963566,3.424017332,0.732241525,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ntu_lag3,rw_ntu,6,log1p,0.00160336406,0.002190316386,3.33220451,1.791759469,5.479005233,3.424322167,0.7320239537,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ntu_lag6,rw_ntu,12,log1p,0.001929216984,0.002637328173,3.33220451,1.791759469,5.479130234,3.42483999,0.731504332,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_clr,rw_clr,0,log1p,-0.001932421107,-0.003320072734,5.564520407,4.204692619,7.267946967,5.640442338,0.5820417989,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_clr_lag1,rw_clr,2,log1p,-0.003845216273,-0.006607238718,5.564520407,4.204692619,7.267978315,5.640529838,0.5819702355,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_clr_lag2,rw_clr,4,log1p,-0.002349712971,-0.004038109302,5.564520407,4.204692619,7.268009663,5.640635074,0.5818844402,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_clr_lag3,rw_clr,6,log1p,-0.002752544742,-0.004731187147,5.564520407,4.204692619,7.268041012,5.640760893,0.5817873307,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_clr_lag6,rw_clr,12,log1p,-0.004219237983,-0.007257432351,5.564520407,4.204692619,7.268135056,5.641053043,0.5813678694,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ph,rw_ph,0,identity,-0.003547856064,-0.1809411553,7,7,7.1,7.004005059,0.01960778938,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ph_lag1,rw_ph,2,identity,-0.0001321756144,-0.006740974815,7,7,7.1,7.004005059,0.01960778938,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ph_lag2,rw_ph,4,identity,0.0001034947575,0.005278247102,7,7,7.1,7.004005059,0.01960778938,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ph_lag3,rw_ph,6,identity,-0.003033468244,-0.1547073046,7,7,7.1,7.004005059,0.01960778938,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
rw_ph_lag6,rw_ph,12,identity,-0.005476490215,-0.2793017667,7,7,7.1,7.004005059,0.01960778938,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
filt_ntu,filt_ntu,0,log1p,0.05672794454,0.2377608745,0.05826890812,0.02955880224,1.7742221,0.1379413114,0.2385924289,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
filt_ntu_lag1,filt_ntu,2,log1p,0.04648446599,0.1948289116,0.05826890812,0.02955880224,1.774239049,0.13794732,0.2385912111,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
filt_ntu_lag2,filt_ntu,4,log1p,0.03137262219,0.1314917771,0.05826890812,0.02955880224,1.774255999,0.1379533286,0.2385899932,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
filt_ntu_lag3,filt_ntu,6,log1p,0.01411287557,0.05915146493,0.05826890812,0.02955880224,1.774272948,0.1379593372,0.2385887751,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
filt_ntu_lag6,filt_ntu,12,log1p,0.002231472263,0.009352581099,0.05826890812,0.02955880224,1.774323795,0.137947719,0.2385942703,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cw_level,cw_level,0,identity,-0.0005708747413,-0.003043423119,3.79,2.7671,3.87,3.702919562,0.1875765278,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cw_level_lag1,cw_level,2,identity,0.002038492811,0.01088854689,3.79,2.77705,3.87,3.702986762,0.1872144035,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cw_level_lag2,cw_level,4,identity,-0.0004304663201,-0.002310428964,3.79,2.794,3.87,3.703253794,0.1863144579,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cw_level_lag3,cw_level,6,identity,0.0003688737208,0.001979773668,3.79,2.7939,3.87,3.703270152,0.1863211572,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cw_level_lag6,cw_level,12,identity,0.003011112989,0.01609393918,3.79,2.7668,3.87,3.70308457,0.1870960836,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
treated_ph,treated_ph,0,identity,-0.001145389883,-0.03337445723,7.3,7,7.3,7.294919899,0.03431935612,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
treated_ph_lag1,treated_ph,2,identity,0.0008033700142,0.02340865637,7.3,7,7.3,7.294919899,0.03431935612,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
treated_ph_lag2,treated_ph,4,identity,-0.0004911010804,-0.01430974051,7.3,7,7.3,7.294919899,0.03431935612,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
treated_ph_lag3,treated_ph,6,identity,0.0007431617205,0.02165430254,7.3,7,7.3,7.294919899,0.03431935612,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
treated_ph_lag6,treated_ph,12,identity,0.005314791594,0.1548628003,7.3,7,7.3,7.294919899,0.03431935612,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
cl2,cl2,0,identity,-0.002129473466,-0.0113463728,1.5,1,2.2,1.479161046,0.1876787855,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
