factor,factor_value,conditional_ntu,selected_main_factor,other_features
river_level,3.36,0.2708498979,False,held at training medians; current and lagged terms moved together
river_level,3.566458333,0.2718073483,False,held at training medians; current and lagged terms moved together
river_level,3.772916667,0.2727655199,False,held at training medians; current and lagged terms moved together
river_level,3.979375,0.2737244135,False,held at training medians; current and lagged terms moved together
river_level,4.185833333,0.2746840294,False,held at training medians; current and lagged terms moved together
river_level,4.392291667,0.2756443683,False,held at training medians; current and lagged terms moved together
river_level,4.59875,0.2766054308,False,held at training medians; current and lagged terms moved together
river_level,4.805208333,0.2775672173,False,held at training medians; current and lagged terms moved together
river_level,5.011666667,0.2785297284,False,held at training medians; current and lagged terms moved together
river_level,5.218125,0.2794929647,False,held at training medians; current and lagged terms moved together
river_level,5.424583333,0.2804569266,False,held at training medians; current and lagged terms moved together
river_level,5.631041667,0.2814216148,False,held at training medians; current and lagged terms moved together
river_level,5.8375,0.2823870298,False,held at training medians; current and lagged terms moved together
river_level,6.043958333,0.2833531721,False,held at training medians; current and lagged terms moved together
river_level,6.250416667,0.2843200423,False,held at training medians; current and lagged terms moved together
river_level,6.456875,0.285287641,False,held at training medians; current and lagged terms moved together
river_level,6.663333333,0.2862559686,False,held at training medians; current and lagged terms moved together
river_level,6.869791667,0.2872250258,False,held at training medians; current and lagged terms moved together
river_level,7.07625,0.288194813,False,held at training medians; current and lagged terms moved together
river_level,7.282708333,0.2891653309,False,held at training medians; current and lagged terms moved together
river_level,7.489166667,0.2901365799,False,held at training medians; current and lagged terms moved together
river_level,7.695625,0.2911085607,False,held at training medians; current and lagged terms moved together
river_level,7.902083333,0.2920812738,False,held at training medians; current and lagged terms moved together
river_level,8.108541667,0.2930547197,False,held at training medians; current and lagged terms moved together
river_level,8.315,0.294028899,False,held at training medians; current and lagged terms moved together
rw_flow,44.7,0.289456148,False,held at training medians; current and lagged terms moved together
rw_flow,45.09166667,0.2883402513,False,held at training medians; current and lagged terms moved together
rw_flow,45.48333333,0.2872253203,False,held at training medians; current and lagged terms moved together
rw_flow,45.875,0.2861113541,False,held at training medians; current and lagged terms moved together
rw_flow,46.26666667,0.284998352,False,held at training medians; current and lagged terms moved together
rw_flow,46.65833333,0.2838863131,False,held at training medians; current and lagged terms moved together
rw_flow,47.05,0.2827752365,False,held at training medians; current and lagged terms moved together
rw_flow,47.44166667,0.2816651215,False,held at training medians; current and lagged terms moved together
rw_flow,47.83333333,0.2805559671,False,held at training medians; current and lagged terms moved together
rw_flow,48.225,0.2794477726,False,held at training medians; current and lagged terms moved together
rw_flow,48.61666667,0.2783405372,False,held at training medians; current and lagged terms moved together
rw_flow,49.00833333,0.2772342599,False,held at training medians; current and lagged terms moved together
rw_flow,49.4,0.27612894,False,held at training medians; current and lagged terms moved together
rw_flow,49.79166667,0.2750245767,False,held at training medians; current and lagged terms moved together
rw_flow,50.18333333,0.2739211691,False,held at training medians; current and lagged terms moved together
rw_flow,50.575,0.2728187163,False,held at training medians; current and lagged terms moved together
rw_flow,50.96666667,0.2717172177,False,held at training medians; current and lagged terms moved together
rw_flow,51.35833333,0.2706166723,False,held at training medians; current and lagged terms moved together
rw_flow,51.75,0.2695170792,False,held at training medians; current and lagged terms moved together
rw_flow,52.14166667,0.2684184378,False,held at training medians; current and lagged terms moved together
rw_flow,52.53333333,0.2673207472,False,held at training medians; current and lagged terms moved together
rw_flow,52.925,0.2662240064,False,held at training medians; current and lagged terms moved together
rw_flow,53.31666667,0.2651282149,False,held at training medians; current and lagged terms moved together
rw_flow,53.70833333,0.2640333716,False,held at training medians; current and lagged terms moved together
rw_flow,54.1,0.2629394757,False,held at training medians; current and lagged terms moved together
rw_ntu,10,0.2687613069,False,held at training medians; current and lagged terms moved together
rw_ntu,15.25,0.2725377487,False,held at training medians; current and lagged terms moved together
rw_ntu,20.5,0.2752542038,False,held at training medians; current and lagged terms moved together
rw_ntu,25.75,0.2773781604,False,held at training medians; current and lagged terms moved together
rw_ntu,31,0.2791228979,False,held at training medians; current and lagged terms moved together
rw_ntu,36.25,0.2806038462,False,held at training medians; current and lagged terms moved together
rw_ntu,41.5,0.281890592,False,held at training medians; current and lagged terms moved together
rw_ntu,46.75,0.2830283477,False,held at training medians; current and lagged terms moved together
rw_ntu,52,0.2840481578,False,held at training medians; current and lagged terms moved together
rw_ntu,57.25,0.2849722647,False,held at training medians; current and lagged terms moved together
rw_ntu,62.5,0.2858171523,False,held at training medians; current and lagged terms moved together
