horizon_hours,model,rmse,mae,r2,coverage_95,n,beats_persistence
2,hybrid,0.09703014244,0.02643528688,0.7279815218,0.9757412399,371,False
2,persistence,0.09223931724,0.02110512129,0.7541799923,,371,
2,physical,0.5230075337,0.4858355215,-6.903163345,,371,
4,hybrid,0.1366792112,0.04356063601,0.4609991598,0.9702702703,370,False
4,persistence,0.1310632404,0.03559459459,0.5043828603,,370,
4,physical,0.5309864668,0.4906525013,-7.134885034,,370,
6,hybrid,0.1509114363,0.0544152434,0.343939549,0.9674796748,369,False
6,persistence,0.1375169071,0.04157723577,0.455231804,,369,
6,physical,0.5343634252,0.4925489698,-7.225702592,,369,
8,hybrid,0.1420093825,0.05740003878,0.4201731208,0.9782608696,368,False
8,persistence,0.1252363201,0.04071195652,0.5490536647,,368,
8,physical,0.5361908683,0.4935942981,-7.266146402,,368,
10,hybrid,0.1253698588,0.05969111918,0.5490286037,0.9754768392,367,False
10,persistence,0.1204919752,0.04191280654,0.5834386519,,367,
10,physical,0.536550399,0.4940876727,-7.260070753,,367,
12,hybrid,0.1390417633,0.06769586782,0.4465331414,0.9672131148,366,True
12,persistence,0.1424686908,0.05027868852,0.4189146127,,366,
12,physical,0.5370515303,0.4944753365,-7.257203804,,366,
