operational_day,origin,horizon_hours,scenario,baseline_ntu,scenario_ntu,delta_ntu,elasticity
2026-02-01,2026-02-01 07:00:00,2,R/W NTU +25%,0.3248640691,0.3246315272,-0.0002325419071,-0.002863251793
2026-02-01,2026-02-01 07:00:00,2,R/W NTU +100%,0.3248640691,0.3241318542,-0.0007322148488,-0.002253911462
2026-02-01,2026-02-01 07:00:00,2,ALUM +10%,0.3248640691,0.3248640691,0,0
2026-02-01,2026-02-01 07:00:00,2,ALUM -10%,0.3248640691,0.3252842682,0.0004201991459,-0.01293461438
2026-02-01,2026-02-01 07:00:00,4,R/W NTU +25%,0.3277707485,0.3276819139,-8.883456563e-05,-0.001084106084
2026-02-01,2026-02-01 07:00:00,4,R/W NTU +100%,0.3277707485,0.3274909986,-0.0002797499263,-0.0008534926547
2026-02-01,2026-02-01 07:00:00,4,ALUM +10%,0.3277707485,0.3277707485,0,0
2026-02-01,2026-02-01 07:00:00,4,ALUM -10%,0.3277707485,0.3283610947,0.0005903461574,-0.01801094698
2026-02-01,2026-02-01 07:00:00,6,R/W NTU +25%,0.3300386747,0.3306442307,0.0006055559125,0.00733921154
2026-02-01,2026-02-01 07:00:00,6,R/W NTU +100%,0.3300386747,0.3319467081,0.001908033314,0.005781241593
2026-02-01,2026-02-01 07:00:00,6,ALUM +10%,0.3300386747,0.3300386747,0,0
2026-02-01,2026-02-01 07:00:00,6,ALUM -10%,0.3300386747,0.3305992017,0.0005605269138,-0.01698367363
2026-02-01,2026-02-01 07:00:00,8,R/W NTU +25%,0.3292795561,0.3303747332,0.001095177156,0.01330391925
2026-02-01,2026-02-01 07:00:00,8,R/W NTU +100%,0.3292795561,0.3327316935,0.003452137447,0.01048391066
2026-02-01,2026-02-01 07:00:00,8,ALUM +10%,0.3292795561,0.3292795561,0,0
2026-02-01,2026-02-01 07:00:00,8,ALUM -10%,0.3292795561,0.3290955277,-0.0001840284173,0.005588820015
2026-02-01,2026-02-01 07:00:00,10,R/W NTU +25%,0.3261913764,0.3276378755,0.001446499115,0.01773804238
2026-02-01,2026-02-01 07:00:00,10,R/W NTU +100%,0.3261913764,0.3307522325,0.00456085613,0.01398214809
2026-02-01,2026-02-01 07:00:00,10,ALUM +10%,0.3261913764,0.3261913764,0,0
2026-02-01,2026-02-01 07:00:00,10,ALUM -10%,0.3261913764,0.3256777462,-0.0005136301896,0.01574628353
2026-02-01,2026-02-01 07:00:00,12,R/W NTU +25%,0.3222716321,0.3244258725,0.002154240413,0.02673819472
2026-02-01,2026-02-01 07:00:00,12,R/W NTU +100%,0.3222716321,0.3290679484,0.006796316334,0.02108878243
2026-02-01,2026-02-01 07:00:00,12,ALUM +10%,0.3222716321,0.3222716321,0,0
2026-02-01,2026-02-01 07:00:00,12,ALUM -10%,0.3222716321,0.3215003421,-0.0007712900301,0.02393291724
2026-02-10,2026-02-10 07:00:00,2,R/W NTU +25%,0.2831644889,0.2829499099,-0.0002145789699,-0.003031156495
2026-02-10,2026-02-10 07:00:00,2,R/W NTU +100%,0.2831644889,0.2824827695,-0.0006817193685,-0.002407503042
2026-02-10,2026-02-10 07:00:00,2,ALUM +10%,0.2831644889,0.2831644889,0,0
2026-02-10,2026-02-10 07:00:00,2,ALUM -10%,0.2831644889,0.2835714624,0.0004069735416,-0.01437233684
2026-02-10,2026-02-10 07:00:00,4,R/W NTU +25%,0.2942245737,0.2941420759,-8.249779281e-05,-0.001121562238
2026-02-10,2026-02-10 07:00:00,4,R/W NTU +100%,0.2942245737,0.2939624479,-0.000262125783,-0.0008909037739
2026-02-10,2026-02-10 07:00:00,4,ALUM +10%,0.2942245737,0.2942245737,0,0
2026-02-10,2026-02-10 07:00:00,4,ALUM -10%,0.2942245737,0.2948000047,0.0005754310409,-0.01955754524
2026-02-10,2026-02-10 07:00:00,6,R/W NTU +25%,0.2986049507,0.2991682452,0.0005632944552,0.007545681394
2026-02-10,2026-02-10 07:00:00,6,R/W NTU +100%,0.2986049507,0.3003957138,0.001790763058,0.005997097682
2026-02-10,2026-02-10 07:00:00,6,ALUM +10%,0.2986049507,0.2986049507,0,0
