operational_day,source,valid_points,predicted_ratio,max_ntu,max_excess_ntu,longest_exceedance_hours,exceedance_load_ntu_hours,central_grade,modal_grade,grade_95_low,grade_95_high,p_safe,p_low,p_medium,p_high
2026-01-01,observed,12,0,0.19,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-02,observed,12,0,0.22,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-03,observed,12,0,0.18,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-04,observed,12,0,0.17,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-05,observed,12,0,0.18,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-06,observed,12,0,0.18,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-07,observed,12,0,0.2,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-08,observed,12,0,0.24,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-09,observed,12,0,0.74,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-10,observed,12,0,2.15,1.15,8,5.84,HIGH,HIGH,HIGH,HIGH,0,0,0,1
2026-01-11,observed,12,0,0.43,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-12,observed,12,0,0.36,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-13,observed,12,0,0.36,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-14,observed,12,0,0.66,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-15,observed,12,0,1.37,0.37,4,1.3,LOW,LOW,LOW,LOW,0,1,0,0
2026-01-16,observed,12,0,0.32,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-17,observed,12,0,0.19,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-18,observed,12,0,0.19,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-19,observed,12,0,0.29,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-20,observed,12,0,0.23,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-21,observed,12,0,0.25,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-22,observed,12,0,0.29,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-23,observed,12,0,0.31,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-24,observed,12,0,0.31,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
2026-01-25,observed,12,0,0.34,0,0,0,SAFE,SAFE,SAFE,SAFE,1,0,0,0
