变量,字段,训练_n,训练_mean,训练_std,训练_p5,训练_p25,训练_p50,训练_p75,训练_p95,训练_min,训练_max,三月_n,三月_mean,三月_std,三月_p5,三月_p25,三月_p50,三月_p75,三月_p95,三月_min,三月_max,KS统计量,KS_p值,PSI,标准差比_三月除训练
原水浊度,rw_ntu,4748,40.88458298230834,42.55292928712627,10.0,18.0,27.0,46.0,136.0,1.0,456.0,372,14.045698924731182,7.824941655316628,6.0,7.0,12.0,19.0,29.0,5.0,41.0,0.4762978866030746,3.9501684615064874e-72,3.593237700783858,0.18388726196774294
原水色度,rw_clr,4748,339.8285593934288,273.4719056471629,121.0,182.0,260.0,428.0,761.6499999999996,11.0,7612.0,372,145.42741935483872,80.59808509899108,60.0,74.0,124.0,198.5,300.0,60.0,420.0,0.49766964698209104,4.037137419290049e-79,3.6359035602630465,0.2947216274675754
原水pH,rw_ph,3105,7.006183574879226,0.024487500508614927,7.0,7.0,7.0,7.0,7.1,7.0,7.3,372,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.06119162640901765,0.15879171452862517,,0.0
原水流量,rw_flow,4740,49.12913713080169,3.3368187156858773,44.69500000000001,47.0,48.8,51.6,54.1,4.7,63.4,372,51.215591397849465,1.7210364597146233,49.4,50.2,50.5,51.824999999999996,55.0,48.8,57.7,0.5119300394718933,5.434558617333231e-84,6.460893147532332,0.5157716395033067
河水水位,river_level,4516,5.1984654561558905,1.6160397340604817,3.36,3.81,4.86,6.14,8.3125,2.31,10.83,370,3.925389189189189,0.7372037735096365,3.1145,3.4,3.74,4.1975,5.501,3.03,6.55,0.41636224355444906,4.841685428716781e-54,2.847381603023467,0.4561792374110314
滤后水浊度,filt_ntu,4749,0.20484312486839337,0.615437804889016,0.03,0.04,0.06,0.12,0.68,0.02,9.8,372,0.07720430107526881,0.14274638201067733,0.03,0.04,0.05,0.08,0.16,0.03,2.52,0.16667685556891443,7.615348316001924e-09,0.31498217913055604,0.2319428232661451
混凝剂投加量,alum,3104,0.05474548969072166,0.005184290981377369,0.05,0.05,0.05,0.06,0.06,0.04,0.08,372,0.05822580645161291,0.004227057070499856,0.05,0.06,0.06,0.06,0.06,0.05,0.08,0.3369568229686287,4.592957663065257e-34,0.5544637940837868,0.8153587608573634
清水池水位,cw_level,4748,3.701075610783488,0.19706426353783538,3.3135000000000003,3.64,3.79,3.82,3.84,1.86,3.98,371,3.765725067385444,0.2572699494897692,3.55,3.81,3.83,3.84,3.85,1.34,3.894,0.3872857801383814,7.344664846328715e-47,0.7583863459743261,1.3055129574032314
出厂水流量,tw_flow,4734,45.27424165610478,2.677036757949215,41.8,43.4,45.1,47.0,49.4,17.5,55.6,371,45.9377358490566,0.7501922242191924,45.1,45.7,46.0,46.2,46.4,36.1,49.8,0.456315897954466,9.228318725582337e-66,4.857507182336065,0.2802323210510896
出厂水浊度,ntu,4744,0.43720278246205735,0.6375024700416025,0.13,0.19,0.29,0.48,0.9084999999999945,0.08,11.9,369,0.5619810298102981,0.1847278614376508,0.23,0.5,0.56,0.68,0.75,0.16,1.55,0.5402716653642083,1.516134433199972e-93,2.3988982594386066,0.2897680716838567
